ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
1,Location 1 - Location 1,1,1,1,,,0.0,,,,0.0,,0
2,Location 1 - Location 78,1,78,2,,,1.8810006481780972,,,,0.45483006446237034,,0
3,Location 1 - Location 14,1,14,3,,,2.0513299865366195,,,,0.4198735360542223,,0
4,Location 1 - Location 79,1,79,4,,,2.1608549520092537,,,,0.41901012447836106,,0
5,Location 1 - Location 122,1,122,5,,,2.1661010526585955,,,,0.4294389531208006,,0
6,Location 1 - Location 8,1,8,6,,,2.364295347349029,,,,0.5552386889008255,,0
7,Location 1 - Location 48,1,48,7,,,2.364295347349029,,,,0.5552386889008255,,0
8,Location 1 - Location 135,1,135,8,,,2.380946757332989,,,,0.5504368846457472,,0
9,Location 1 - Location 10,1,10,9,,,2.381320115230056,,,,0.5214358154494281,,0
10,Location 1 - Location 49,1,49,10,,,2.381320115230056,,,,0.5214358154494281,,0
11,Location 1 - Location 121,1,121,11,,,2.381320115230056,,,,0.5214358154494281,,0
12,Location 1 - Location 12,1,12,12,,,2.4321962999612814,,,,0.5864924409601688,,0
13,Location 1 - Location 119,1,119,13,,,2.4321962999612814,,,,0.5864924409601688,,0
14,Location 1 - Location 95,1,95,14,,,2.50858210934731,,,,0.5320429495012804,,0
15,Location 1 - Location 11,1,11,15,,,2.528347194006913,,,,0.6320867985017282,,0
16,Location 1 - Location 51,1,51,16,,,2.530411370500092,,,,0.5338600867219311,,0
17,Location 1 - Location 9,1,9,17,,,2.743826121854763,,,,0.5516478484862186,,0
18,Location 1 - Location 50,1,50,18,,,2.7492298935145407,,,,0.552098098458372,,0
19,Location 1 - Location 96,1,96,19,,,2.7492298935145407,,,,0.552098098458372,,0
20,Location 1 - Location 93,1,93,20,,,2.8562555777020098,,,,0.5610173322111721,,0
21,Location 1 - Location 47,1,47,21,,,2.8699123237425708,,,,0.562155610438854,,0
22,Location 1 - Location 120,1,120,22,,,2.8699123237425708,,,,0.562155610438854,,0
23,Location 1 - Location 46,1,46,23,,,2.879830821837398,,,,0.5629821974511334,,0
24,Location 1 - Location 94,1,94,24,,,2.879830821837398,,,,0.5629821974511334,,0
25,Location 1 - Location 86,1,86,25,,,2.9171932976982164,,,,0.7292983244245541,,0
26,Location 1 - Location 148,1,148,26,,,2.9171932976982164,,,,0.7292983244245541,,0
27,Location 1 - Location 149,1,149,27,,,2.9681961856586794,,,,0.7420490464146698,,0
28,Location 1 - Location 90,1,90,28,,,2.9696793409100213,,,,0.631279473442504,,0
29,Location 1 - Location 28,1,28,29,,,3.1293626497590843,,,,0.7823406624397711,,0
30,Location 1 - Location 88,1,88,30,,,3.241209615086732,,,,0.7003434873938646,,0
31,Location 1 - Location 87,1,87,31,,,3.2875478641056346,,,,0.7770871613389086,,0
32,Location 1 - Location 152,1,152,32,,,3.310490670953895,,,,0.8276226677384737,,0
33,Location 1 - Location 143,1,143,33,,,3.3474987427739844,,,,0.6627621594708275,,0
34,Location 1 - Location 4,1,4,34,,,3.3822787907026166,,,,0.8421358163151359,,0
35,Location 1 - Location 59,1,59,35,,,3.3822787907026166,,,,0.8421358163151359,,0
36,Location 1 - Location 85,1,85,36,,,3.409706137427387,,,,0.8076267296693469,,0
37,Location 1 - Location 84,1,84,37,,,3.413135029221808,,,,0.808483952617952,,0
38,Location 1 - Location 150,1,150,38,,,3.413135029221808,,,,0.808483952617952,,0
39,Location 1 - Location 57,1,57,39,,,3.4366250531333935,,,,0.8591562632833484,,0
40,Location 1 - Location 3,1,3,40,,,3.5059902157647787,,,,0.8675174666932914,,0
41,Location 1 - Location 123,1,123,41,,,3.5059902157647787,,,,0.8675174666932914,,0
42,Location 1 - Location 29,1,29,42,,,3.535843319227972,,,,0.839161025119493,,0
43,Location 1 - Location 58,1,58,43,,,3.5621396924541253,,,,0.8905349231135313,,0
44,Location 1 - Location 115,1,115,44,,,3.6414468257691857,,,,0.7918694500190951,,0
45,Location 1 - Location 140,1,140,45,,,3.6444390790411236,,,,0.8663099650727809,,0
46,Location 1 - Location 83,1,83,46,,,3.7230711672491292,,,,0.8812132670406779,,0
47,Location 1 - Location 137,1,137,47,,,3.7609805124708675,,,,0.8018305905775686,,0
48,Location 1 - Location 153,1,153,48,,,3.803423690420285,,,,0.8946046735423953,,0
49,Location 1 - Location 151,1,151,49,,,3.845789681764801,,,,0.7042834183199292,,0
50,Location 1 - Location 91,1,91,50,,,3.8611997174110853,,,,0.7055674956106766,,0
51,Location 1 - Location 112,1,112,51,,,3.880051644289656,,,,0.9070154182088339,,0
52,Location 1 - Location 139,1,139,52,,,3.880051644289656,,,,0.9070154182088339,,0
53,Location 1 - Location 147,1,147,53,,,3.908041579127226,,,,0.8881012292492352,,0
54,Location 1 - Location 154,1,154,54,,,3.935382463472017,,,,0.9165966845168303,,0
55,Location 1 - Location 82,1,82,55,,,3.988998735061463,,,,0.9972496837653657,,0
56,Location 1 - Location 100,1,100,56,,,4.008809022093259,,,,0.9574024508358148,,0
57,Location 1 - Location 27,1,27,57,,,4.034338283351839,,,,0.9330884828751563,,0
58,Location 1 - Location 155,1,155,58,,,4.034338283351839,,,,0.9330884828751563,,0
59,Location 1 - Location 107,1,107,59,,,4.051685980654726,,,,0.9824764347958315,,0
60,Location 1 - Location 92,1,92,60,,,4.122799026936057,,,,0.7273658704065964,,0
61,Location 1 - Location 156,1,156,61,,,4.122799026936057,,,,0.7273658704065964,,0
62,Location 1 - Location 106,1,106,62,,,4.171800013398279,,,,1.0429500033495698,,0
